accident_date,gender,age
1.46E+12,Male,19
1.47E+12,Male,31
1.47E+12,Male,21
1.40E+12,Male,38
1.47E+12,Female,46
1.53E+12,Female,74
1.53E+12,Female,64
1.53E+12,Female,71
1.53E+12,Female,75
1.47E+12,Male,67
1.47E+12,Male,36
1.52E+12,Male,58
1.44E+12,Male,22
1.47E+12,Female,74
1.47E+12,Female,93
1.47E+12,Male,87
1.42E+12,Male,53
1.47E+12,Male,30
1.47E+12,Male,52
1.52E+12,Male,32
1.52E+12,Male,39
1.53E+12,Male,58
1.47E+12,Female,63
1.50E+12,Female,69
1.40E+12,Male,52
1.47E+12,Male,28
1.44E+12,Male,37
1.41E+12,Female,17
1.53E+12,Male,29
1.47E+12,Female,77
1.47E+12,Female,22
1.47E+12,Male,24
1.45E+12,Male,44
1.47E+12,Female,58
1.51E+12,Female,58
1.47E+12,Male,85
1.54E+12,Male,20
1.51E+12,Male,23
1.47E+12,Male,37
1.53E+12,Male,34
1.51E+12,Male,44
1.52E+12,Male,57
1.47E+12,Male,87
1.47E+12,Male,50
1.47E+12,Male,51
1.47E+12,Female,59
1.46E+12,Male,58
1.47E+12,Female,47
1.46E+12,Male,26
1.53E+12,Male,78
1.47E+12,Male,41
1.47E+12,Male,44
1.47E+12,Male,25
1.53E+12,Male,32
1.47E+12,Male,82
1.47E+12,Male,36
1.39E+12,Male,38
1.47E+12,Female,48
1.47E+12,Male,88
1.50E+12,Female,42
1.47E+12,Male,71
1.47E+12,Male,85
1.48E+12,Male,38
1.49E+12,Female,50
1.44E+12,Male,55
1.48E+12,Female,17
1.48E+12,Male,80
1.48E+12,Male,25
1.48E+12,Female,62
1.48E+12,Male,65
1.50E+12,Female,40
1.48E+12,Male,65
1.54E+12,Female,27
1.39E+12,Female,32
1.51E+12,Male,38
1.50E+12,Male,42
1.55E+12,Female,61
1.48E+12,Male,59
1.43E+12,Male,16
1.48E+12,Male,26
1.48E+12,Male,80
1.51E+12,Male,50
1.48E+12,Male,25
1.48E+12,Female,79
1.46E+12,Male,93
1.48E+12,Male,26
1.49E+12,Male,40
1.45E+12,Female,90
1.47E+12,Male,27
1.48E+12,Male,25
1.52E+12,Male,31
1.55E+12,Female,16
1.48E+12,Female,67
1.49E+12,Male,68
1.48E+12,Male,34
1.39E+12,Male,20
1.51E+12,Male,40
1.51E+12,Female,50
1.51E+12,Male,35
1.48E+12,Female,75
1.48E+12,Male,42
1.48E+12,Male,30
1.55E+12,Male,52
1.48E+12,Male,19
1.48E+12,Male,42
1.49E+12,Male,49
1.51E+12,Female,44
1.48E+12,Female,29
1.48E+12,Female,88
1.49E+12,Male,18
1.55E+12,Male,25
1.51E+12,Male,61
1.49E+12,Male,46
1.48E+12,Male,22
1.48E+12,Female,69
1.46E+12,Female,4
1.49E+12,Male,27
1.43E+12,Male,88
1.48E+12,Female,54
1.48E+12,Male,76
1.48E+12,Female,45
1.48E+12,Male,43
1.47E+12,Male,25
1.46E+12,Male,28
1.47E+12,Male,52
1.47E+12,Male,85
1.41E+12,Male,22
1.47E+12,Male,75
1.52E+12,Male,42
1.49E+12,Male,89
1.51E+12,Male,88
1.52E+12,Male,62
1.47E+12,Male,21
1.49E+12,Male,91
1.46E+12,Male,18
1.48E+12,Female,53
1.44E+12,Male,49
1.51E+12,Male,23
1.49E+12,Female,30
1.49E+12,Male,18
1.41E+12,Female,19
1.52E+12,Female,44
1.52E+12,Female,92
1.49E+12,Male,76
1.55E+12,Male,44
1.49E+12,Male,59
1.49E+12,Male,73
1.50E+12,Male,21
1.50E+12,Male,21
1.49E+12,Female,22
1.55E+12,Male,59
1.55E+12,Male,36
1.53E+12,Female,79
1.43E+12,Female,82
1.43E+12,Male,91
1.51E+12,Female,15
1.51E+12,Female,18
1.53E+12,Male,39
1.51E+12,Female,64
1.54E+12,Male,38
1.49E+12,Male,70
1.47E+12,Male,33
1.41E+12,Male,48
1.49E+12,Male,45
1.45E+12,Female,63
1.49E+12,Male,39
1.52E+12,Male,26
