latitude,longitude,geometry,accident_date,gender,age,road_user_type,road_user_type_desc,accident_type,accident_type_desc,num_of_vehicles,lga_name,stat_div_name,node_type_desc,road_type,location_count
-38.22384108,145.2371119,Point,1550000000000,Male,61,4,Motorcyclists,1,Collision with vehicle,4,MORNINGTON PENINSULA,Metro,Non Intersection,Local Roads,1
-37.82623072,144.8153683,Point,1540000000000,Male,27,3,Passengers,4,Collision with a fixed object,1,WYNDHAM,Melbourne - West,Non Intersection,Freeway Ramps,2
-37.82623072,144.8153683,Point,1540000000000,Male,27,2,Drivers,4,Collision with a fixed object,1,WYNDHAM,Melbourne - West,Non Intersection,Freeway Ramps,2
-36.7289261,142.2096928,Point,1550000000000,Male,52,2,Drivers,1,Collision with vehicle,3,HORSHAM,Country,Non Intersection,Local Roads,1
-38.05420001,141.07149,Point,1520000000000,Male,57,2,Drivers,1,Collision with vehicle,3,GLENELG,Country,Non Intersection,Main Roads,1
-38.18892601,146.5723974,Point,1550000000000,Male,24,1,Pedestrians,2,Struck Pedestrian,1,LATROBE,Country,Non Intersection,Freeway & State Highways,1
-37.71975832,144.4505858,Point,1550000000000,Male,55,2,Drivers,1,Collision with vehicle,2,MOORABOOL,Ballarat,Non Intersection,Main Roads,1
-37.8937804,145.1381236,Point,1550000000000,Male,24,4,Motorcyclists,1,Collision with vehicle,3,MONASH,Melbourne - South East,Non Intersection,Freeway & State Highways,1
-37.79133358,144.8511198,Point,1550000000000,Female,89,1,Pedestrians,2,Struck Pedestrian,1,MARIBYRNONG,Melbourne - West,Intersection,Local Roads,1
-37.68310116,143.0757942,Point,1440000000000,Male,43,2,Drivers,1,Collision with vehicle,2,ARARAT,Country,Intersection,Freeway & State Highways,1
-37.04455877,146.099049,Point,1540000000000,Female,77,2,Drivers,1,Collision with vehicle,2,MANSFIELD,Country,Intersection,Main Roads,1
-38.02457022,143.6070904,Point,1510000000000,Female,46,2,Drivers,1,Collision with vehicle,2,CORANGAMITE,Country,Non Intersection,Local Roads,1
-37.2906704,144.7027528,Point,1550000000000,Male,36,3,Passengers,4,Collision with a fixed object,1,MACEDON RANGES,Country,Non Intersection,Main Roads,2
-37.2906704,144.7027528,Point,1550000000000,Male,31,3,Passengers,4,Collision with a fixed object,1,MACEDON RANGES,Country,Non Intersection,Main Roads,2
